                   delete.json                         DELETE     /{index}/{type}/{id}
                   exists.json                         HEAD       /{index}/{type}/{id}
                   get.json                            GET        /{index}/{type}/{id}
                   index.json                          POST       /{index}/{type}/{id}
                   index.json                          PUT        /{index}/{type}/{id}
                   index.json                          POST       /{index}/{type}
                   indices.create.json                 PUT        /{index}
                   indices.delete.json                 DELETE     /{index}
                   indices.exists.json                 HEAD       /{index}
                   indices.get.json                    GET        /{index}
                   info.json                           GET        /
                   ping.json                           HEAD       /
_alias             indices.delete_alias.json           DELETE     /{index}/_alias/{name}
_alias             indices.exists_alias.json           HEAD       /_alias/{name}
_alias             indices.exists_alias.json           HEAD       /{index}/_alias/{name}
_alias             indices.get_alias.json              GET        /{index}/_alias/{name}
_alias             indices.get_alias.json              GET        /_alias/{name}
_alias             indices.get_alias.json              GET        /_alias
_alias             indices.get_alias.json              GET        /{index}/_alias
_alias             indices.put_alias.json              POST       /{index}/_alias/{name}
_alias             indices.put_alias.json              PUT        /{index}/_alias/{name}
_aliases           indices.delete_alias.json           DELETE     /{index}/_aliases/{name}
_aliases           indices.put_alias.json              POST       /{index}/_aliases/{name}
_aliases           indices.put_alias.json              PUT        /{index}/_aliases/{name}
_aliases           indices.update_aliases.json         POST       /_aliases
_analyze           indices.analyze.json                GET        /{index}/_analyze
_analyze           indices.analyze.json                GET        /_analyze
_analyze           indices.analyze.json                POST       /_analyze
_analyze           indices.analyze.json                POST       /{index}/_analyze
_bulk              bulk.json                           POST       /_bulk
_bulk              bulk.json                           PUT        /{index}/{type}/_bulk
_bulk              bulk.json                           POST       /{index}/{type}/_bulk
_bulk              bulk.json                           PUT        /{index}/_bulk
_bulk              bulk.json                           POST       /{index}/_bulk
_bulk              bulk.json                           PUT        /_bulk
_cache             indices.clear_cache.json            POST       /{index}/_cache/clear
_cache             indices.clear_cache.json            POST       /_cache/clear
_cat               cat.aliases.json                    GET        /_cat/aliases/{name}
_cat               cat.aliases.json                    GET        /_cat/aliases
_cat               cat.allocation.json                 GET        /_cat/allocation/{node_id}
_cat               cat.allocation.json                 GET        /_cat/allocation
_cat               cat.count.json                      GET        /_cat/count
_cat               cat.count.json                      GET        /_cat/count/{index}
